step,epoch,lr,loss,grad_norm_global,grad_norm_encoder.blocks.0,grad_norm_encoder.blocks.1,grad_norm_encoder.blocks.2,grad_norm_encoder.blocks.3,grad_norm_encoder.blocks.4,grad_norm_encoder.blocks.5,grad_norm_encoder.blocks.6,grad_norm_encoder.blocks.7,grad_norm_encoder.blocks.8,grad_norm_encoder.blocks.9,grad_norm_encoder.blocks.10,grad_norm_encoder.blocks.11
10,0,2.375726401805878e-06,3.5901734828948975,7.46453491756752,1.2484317818402055,0.6995806735812966,0.6982103084784529,0.7721733002769874,0.7103526725413059,0.8424274694852253,0.8254156616525165,0.8308886639522471,0.8229576664339732,0.9032463667944005,0.8424517517526549,0.8691966507315773
20,0,2.375726401805878e-06,3.3963685035705566,6.936553210081256,0.8469432885000732,0.5333615203983676,0.5375935663732277,0.6046875515531543,0.5712079326653705,0.693679937377889,0.6335022934039422,0.6192823710712325,0.7223842252441831,0.7755598781449179,0.7284456224632703,0.7967834568538706
30,0,2.375726401805878e-06,3.425853967666626,6.9252891880778416,0.8177059382786047,0.4952478073469691,0.4750609855197623,0.5082126601717567,0.48544048717839816,0.6417612787706388,0.5530350075036262,0.5762023504908863,0.5970720992832816,0.6610699587281982,0.5806426354169816,0.6329253823076488
40,0,2.375726401805878e-06,3.28448486328125,6.828048326418739,0.8551821852145354,0.4926470490535344,0.4885313123820574,0.5243168925433,0.48771892656200866,0.5946202490435275,0.5290320230368173,0.5356578246934829,0.5774931906124185,0.561108496372412,0.5078722536010467,0.5552030760923106
50,0,2.375726401805878e-06,3.1310181617736816,6.630205134340311,0.9860726829582098,0.5020157640150359,0.4933113836017038,0.5280778172279303,0.4941913454121959,0.6424553537691118,0.5359804428010873,0.5539723274183113,0.72457203351522,0.5483980115936014,0.48416043543551246,0.5623340385386546
60,0,2.375726401805878e-06,3.5610978603363037,6.146672338837389,0.5988997533780878,0.35939936770481345,0.3478130647086875,0.37655941215140454,0.3909268612789987,0.47211048268061123,0.4637398154346526,0.4375653210451138,0.4723335096533728,0.525283774356522,0.41529437427498994,0.42579714348353903
70,0,2.375726401805878e-06,3.241509437561035,5.123137614404567,0.6790260177275707,0.3696483990458257,0.3579968719364578,0.38986891891191394,0.35603046275586986,0.4135157284667122,0.3392467712154019,0.3964606309723864,0.38257618239275487,0.34482992897961273,0.35312108439200474,0.4040687200920317
80,0,2.375726401805878e-06,3.2774386405944824,5.054842750458629,0.5398061077898778,0.2890902605434197,0.27992039804727903,0.32183059823573623,0.30621892297312564,0.34296192741162096,0.32291857970960236,0.32318354461149684,0.3522178316284986,0.37202383209766,0.34015834961242786,0.3756502290354599
90,0,2.375726401805878e-06,3.5083706378936768,6.827175526417275,0.8696309269007492,0.5128470239799204,0.4787833003174331,0.5432698060407071,0.49540023512261533,0.6260041532603573,0.5080257739118411,0.4621973549800474,0.49726486255803337,0.4948686343840505,0.445357159101869,0.5059333882881722
100,0,2.375726401805878e-06,3.52317476272583,6.408738465865809,0.6340736199598718,0.40697188770154746,0.39613349865398784,0.45107071005430577,0.4114552679048515,0.539355367497504,0.43129530227477,0.41451873244007187,0.4567415246434855,0.39388907262830253,0.3909390759957845,0.4251762679491121
110,0,2.375726401805878e-06,3.3909859657287598,5.995733221106144,0.8067982411739232,0.5115221138419075,0.4792750616076161,0.5391575010478961,0.5032701448314018,0.5440472164636165,0.48543593651246425,0.4976569719717015,0.4719977408844714,0.4421984751899251,0.4103509594193851,0.4284848991024744
120,0,2.375726401805878e-06,3.5486536026000977,6.783938025117115,1.4317787469479935,0.8069150750095134,0.7398688245320201,0.7866668319230435,0.7068703223557345,0.9208468354109826,0.6281138272425683,0.6014582545752696,0.6021304003341257,0.5329090417932555,0.5031371570120512,0.5352415358312156
130,0,2.375726401805878e-06,3.297271251678467,6.744142808846165,1.1425848846306914,0.6626262239603088,0.6324288181890079,0.6964280183372389,0.6197925933188919,0.7632462642214407,0.5641995284611956,0.6248263655251503,0.6310798542530287,0.5452973972190169,0.46900223769561034,0.46126546771248617
